Age,Attrition,BusinessTravel,DailyRate,Department,DistanceFromHome,Education,EducationField,EmployeeCount,EnvironmentSatisfaction,Gender,HourlyRate,JobInvolvement,JobLevel,JobRole,JobSatisfaction,MaritalStatus,MonthlyIncome,MonthlyRate,NumCompaniesWorked,Over18,OverTime,PercentSalaryHike,PerformanceRating,RelationshipSatisfaction,StandardHours,StockOptionLevel,TotalWorkingYears,TrainingTimesLastYear,WorkLifeBalance,YearsAtCompany,YearsInCurrentRole,YearsSinceLastPromotion,YearsWithCurrManager,employeeid
58,No,Travel_Rarely,147,Research & Development,23,4,Medical,1,4,Male,94,3,3,Healthcare Representative,4,Single,10312,3465,1,Y,No,12,3,4,80,1,40,3,2,40,10,15,6,1
58,Yes,Travel_Rarely,147,Research & Development,23,4,Medical,1,4,Female,94,3,3,Healthcare Representative,4,Married,10312,3465,1,Y,No,12,3,2,80,1,40,3,2,40,10,15,6,2
58,Yes,Travel_Rarely,147,Research & Development,23,4,Medical,1,4,Female,94,3,3,Healthcare Representative,4,Single,10312,3465,1,Y,No,12,3,4,80,1,40,3,2,40,10,15,6,3
58,No,Travel_Rarely,147,Research & Development,23,4,Medical,1,4,Male,94,3,3,Healthcare Representative,4,Married,10312,3465,1,Y,No,12,3,4,80,1,40,3,2,40,10,15,6,4
58,Yes,Travel_Rarely,147,Research & Development,23,4,Medical,1,2,Female,94,3,3,Healthcare Representative,4,Divorced,10312,3465,1,Y,No,12,3,4,80,1,40,3,2,40,10,15,6,5
58,Yes,Travel_Rarely,147,Research & Development,23,4,Medical,1,4,Female,94,3,3,Healthcare Representative,4,Married,10312,3465,1,Y,Yes,12,3,3,80,1,40,3,2,40,10,15,6,6
58,Yes,Travel_Rarely,147,Research & Development,23,4,Medical,1,4,Female,94,3,3,Healthcare Representative,4,Married,10312,3465,1,Y,No,12,3,4,80,1,40,3,2,40,10,15,6,7
58,No,Travel_Rarely,682,Sales,10,4,Medical,1,4,Male,37,3,4,Sales Executive,3,Single,13872,24409,0,Y,No,13,3,3,80,0,38,1,2,37,10,1,8,8
58,Yes,Travel_Rarely,682,Sales,10,4,Medical,1,4,Female,37,3,4,Sales Executive,3,Single,13872,24409,0,Y,No,13,3,2,80,0,38,1,2,37,10,1,8,9
58,No,Travel_Rarely,682,Sales,10,4,Medical,1,4,Male,37,3,4,Sales Executive,3,Single,13872,24409,0,Y,No,13,3,3,80,0,38,1,2,37,10,1,8,10
58,No,Travel_Rarely,682,Sales,10,4,Medical,1,4,Male,37,3,4,Sales Executive,3,Single,13872,24409,0,Y,No,13,3,4,80,0,38,1,2,37,10,1,8,11
58,Yes,Travel_Rarely,682,Sales,10,4,Medical,1,2,Male,37,3,4,Sales Executive,3,Divorced,13872,24409,0,Y,No,13,3,3,80,0,38,1,2,37,10,1,8,12
58,No,Travel_Rarely,682,Sales,10,4,Medical,1,4,Male,37,3,4,Sales Executive,3,Single,13872,24409,0,Y,Yes,13,3,3,80,0,38,1,2,37,10,1,8,13
58,No,Travel_Rarely,682,Sales,10,4,Medical,1,4,Male,37,3,4,Sales Executive,3,Single,13872,24409,0,Y,No,13,3,3,80,0,38,1,2,37,10,1,8,14
55,No,Travel_Rarely,452,Research & Development,1,3,Medical,1,4,Male,81,3,5,Manager,1,Single,19045,18938,0,Y,Yes,14,3,3,80,0,37,2,3,36,10,4,13,15
55,Yes,Travel_Rarely,685,Sales,26,5,Marketing,1,3,Female,60,2,5,Manager,4,Married,19586,23037,1,Y,No,21,4,2,80,1,36,3,3,36,6,2,13,16
55,No,Travel_Rarely,685,Sales,26,5,Marketing,1,3,Male,60,3,5,Manager,4,Single,19586,23037,1,Y,No,21,4,3,80,1,36,3,3,36,6,2,13,17
55,No,Travel_Rarely,452,Research & Development,1,3,Medical,1,4,Male,81,3,5,Manager,1,Single,19045,18938,0,Y,Yes,14,3,4,80,0,37,2,3,36,10,4,13,18
55,Yes,Travel_Rarely,452,Research & Development,1,3,Medical,1,2,Male,81,3,5,Manager,1,Divorced,19045,18938,0,Y,Yes,14,3,3,80,0,37,2,3,36,10,4,13,19
55,No,Travel_Rarely,685,Sales,26,5,Marketing,1,3,Male,60,3,5,Manager,4,Married,19586,23037,1,Y,Yes,21,4,3,80,1,36,3,3,36,6,2,13,20
55,No,Travel_Rarely,452,Research & Development,1,3,Medical,1,4,Male,81,3,5,Manager,1,Single,19045,18938,0,Y,Yes,14,3,3,80,0,37,2,3,36,10,4,13,21
55,No,Travel_Rarely,685,Sales,26,5,Marketing,1,3,Male,60,2,5,Manager,4,Single,19586,23037,1,Y,No,21,4,3,80,1,36,3,3,36,6,2,13,22
55,Yes,Travel_Rarely,452,Research & Development,1,3,Medical,1,4,Female,81,3,5,Manager,1,Single,19045,18938,0,Y,Yes,14,3,2,80,0,37,2,3,36,10,4,13,23
55,No,Travel_Rarely,452,Research & Development,1,3,Medical,1,4,Male,81,3,5,Manager,1,Single,19045,18938,0,Y,No,14,3,3,80,0,37,2,3,36,10,4,13,24
55,No,Travel_Rarely,452,Research & Development,1,3,Medical,1,4,Male,81,3,5,Manager,1,Single,19045,18938,0,Y,Yes,14,3,4,80,0,37,2,3,36,10,4,13,25
55,Yes,Travel_Rarely,685,Sales,26,5,Marketing,1,2,Male,60,2,5,Manager,4,Divorced,19586,23037,1,Y,No,21,4,3,80,1,36,3,3,36,6,2,13,26
55,No,Travel_Rarely,685,Sales,26,5,Marketing,1,3,Male,60,3,5,Manager,4,Married,19586,23037,1,Y,Yes,21,4,3,80,1,36,3,3,36,6,2,13,27
55,No,Travel_Rarely,685,Sales,26,5,Marketing,1,3,Male,60,2,5,Manager,4,Married,19586,23037,1,Y,No,21,4,3,80,1,36,3,3,36,6,2,13,28
52,No,Travel_Rarely,621,Sales,3,4,Marketing,1,3,Male,31,2,4,Manager,1,Single,16856,10084,1,Y,No,11,3,1,80,0,34,3,4,34,6,1,16,29
52,Yes,Travel_Rarely,621,Sales,3,4,Marketing,1,3,Female,31,2,4,Manager,1,Married,16856,10084,1,Y,No,11,3,2,80,0,34,3,4,34,6,1,16,30
52,No,Travel_Rarely,621,Sales,3,4,Marketing,1,3,Male,31,3,4,Manager,1,Single,16856,10084,1,Y,No,11,3,1,80,0,34,3,4,34,6,1,16,31
52,No,Travel_Rarely,621,Sales,3,4,Marketing,1,3,Male,31,2,4,Manager,1,Married,16856,10084,1,Y,No,11,3,4,80,0,34,3,4,34,6,1,16,32
52,Yes,Travel_Rarely,621,Sales,3,4,Marketing,1,2,Male,31,2,4,Manager,1,Divorced,16856,10084,1,Y,No,11,3,1,80,0,34,3,4,34,6,1,16,33
52,No,Travel_Rarely,621,Sales,3,4,Marketing,1,3,Male,31,3,4,Manager,1,Married,16856,10084,1,Y,Yes,11,3,3,80,0,34,3,4,34,6,1,16,34
52,No,Travel_Rarely,621,Sales,3,4,Marketing,1,3,Male,31,2,4,Manager,1,Married,16856,10084,1,Y,No,11,3,1,80,0,34,3,4,34,6,1,16,35
52,No,Non-Travel,771,Sales,2,4,Life Sciences,1,1,Male,79,2,5,Manager,3,Single,19068,21030,1,Y,Yes,18,3,4,80,0,33,2,4,33,7,15,12,36
52,Yes,Travel_Rarely,699,Research & Development,1,4,Life Sciences,1,3,Female,65,2,5,Manager,3,Married,19999,5678,0,Y,No,14,3,2,80,1,34,5,3,33,18,11,9,37
53,Yes,Travel_Rarely,607,Research & Development,2,5,Technical Degree,1,3,Female,78,3,3,Manufacturing Director,4,Single,10169,14618,0,Y,No,16,3,2,80,1,34,4,3,33,7,1,9,38
